291d6bfc0485c	5441	state/walk_stage_1/broccoli_operator.py	#!/usr/bin/env python3
3	028fc92619812a57	894	state/walk_stage_1/broccoli_selftest.py	import json, time
3	5fc26d7d7d252f22	1035	state/walk_stage_1/broccoli_strategy.py	import json, time
3	66fdf74352ebd2e2	5049	state/walk_stage_1/broccoli_ui_dump.py	import os, re, time, xml.etree.ElementTree as ET
3	aea3b9c8679fe69a	1317	state/walk_stage_1/broccoli_wait.py	#!/usr/bin/env python3
3	a42abc5f6a0ce272	3835	state/walk_stage_2/broccoli_agentic_chat.py	import os, time, json, subprocess
3	c9b79f58a9b48026	2619	state/walk_stage_2/broccoli_input.py	import os, re, time, subprocess
3	cc2291d6bfc0485c	5441	state/walk_stage_2/broccoli_operator.py	#!/usr/bin/env python3
3	66ea7c29f66ee1de	4960	state/walk_stage_2/broccoli_ui_dump.py	import os, re, time, xml.etree.ElementTree as ET
3	aea3b9c8679fe69a	1317	state/walk_stage_2/broccoli_wait.py	#!/usr/bin/env python3
3	18cf78a35f74fb57	2396	state/walk_stage_3/broccoli_agent.py	
3	24ebdf07ef3b3109	1672	state/walk_stage_3/broccoli_agent_context.py	
3	088eb6d1b25d05dd	19551	state/walk_stage_3/broccoli_bootstrap.py	#!/usr/bin/env python3
3	4d00606cfdcab498	1263	state/walk_stage_3/broccoli_mac_ingest.py	
3	b1ba339f25944043	2088	state/walk_stage_3/broccoli_pulse.py	
3	34b88221314e848f	336	state/walk_stage_4/broccoli_meta_heal.py	#!/usr/bin/env python3
3	85d0b95fe09cb03e	741	state/walk_stage_4/broccoli_secondary_display.py	#!/usr/bin/env python3
3	dc14067e24b24ac6	978	state/walk_stage_4/broccoli_task_queue.py	#!/usr/bin/env python3
3	781b29d17a33b5fd	4873	state/walk_stage_5/broccoli_agentic_chat.py	import os, time, json, subprocess
3	906da8426e3e9347	2711	state/walk_stage_5/broccoli_input.py	import os, re, time, subprocess
3	66fdf74352ebd2e2	5049	state/walk_stage_5/broccoli_ui_dump.py	import os, re, time, xml.etree.ElementTree as ET
3	7b363cc1b61b2962	550	tasks/current/TASK.md	# Task: google-ai-reliable
3	22015a4b0938b8e5	125	tasks/state.json	{
3	82bdb884dcf0849e	19	thread/conversation.md	# Broccoli thread
3	553c37683299bd5c	19227	thread/to_chat.md	## Co-dev: paste INVESTIGATION_REPORT.md to Mac Grok
2	2842622ce8bb8272	644	tools/a11y_probe_rish.sh	#!/data/data/com.termux/files/usr/bin/bash
2	03eb0933426d0797	783	tools/adb_send_probe.sh	#!/data/data/com.termux/files/usr/bin/bash
2	c5438a9310252f6b	537	tools/agent_apply_reply.sh	#!/data/data/com.termux/files/usr/bin/bash
2	d22f327bbc09cf91	262	tools/agent_consume_iteration.sh	#!/data/data/com.termux/files/usr/bin/bash
2	4fca785475fa08fa	1374	tools/agent_daemon.sh	#!/data/data/com.termux/files/usr/bin/bash
2	d845392665a8e583	917	tools/agent_ensure_running.sh	#!/data/data/com.termux/files/usr/bin/bash
2	2264eeb2f5e5925e	1689	tools/agent_git_vault.sh	#!/data/data/com.termux/files/usr/bin/bash
2	cfa792791a9970fa	1597	tools/agent_handler.sh	#!/data/data/com.termux/files/usr/bin/bash
2	e1b7b0b6dea75751	1178	tools/agent_health.sh	#!/data/data/com.termux/files/usr/bin/bash
2	db7a19c615b3f843	127	tools/agent_loop.sh	#!/data/data/com.termux/files/usr/bin/bash
2	237ec53f19ed9dfb	371	tools/agent_research_private.sh	#!/data/data/com.termux/files/usr/bin/bash
2	5f6765888e66671a	317	tools/agent_should_wire.sh	#!/data/data/com.termux/files/usr/bin/bash
2	c8e6ff1094edc1f4	1131	tools/agent_tick.sh	#!/data/data/com.termux/files/usr/bin/bash
2	7862dfb1e8ebc9e0	487	tools/agent_turn_grok_feed.sh	#!/data/data/com.termux/files/usr/bin/bash
2	715ab3dd89722196	1363	tools/agent_watch_grok_chat.sh	#!/data/data/com.termux/files/usr/bin/bash
2	6a9ce9bbc7622c7e	2494	tools/agent_wrap.sh	#!/data/data/com.termux/files/usr/bin/bash
2	2085078f01a870f0	306	tools/apply_inbox_patch.sh	#!/data/data/com.termux/files/usr/bin/bash
2	c1aa1adc409bdfe7	894	tools/b_cli.sh	#!/data/data/com.termux/files/usr/bin/bash
2	413642bd47bc4f1a	2572	tools/bin_research.py	import time
2	74be7038954e903b	307	tools/brocc_loop.sh	#!/data/data/com.termux/files/usr/bin/bash
2	58014df1429f5d64	90	tools/broccoli-daemon.sh	#!/data/data/com.termux/files/usr/bin/bash
2	6c4057b26e357485	5311	tools/broccoli_agent.py	
2	ade0acc7500d13f5	856	tools/broccoli_agentic_loop.py	#!/usr/bin/env python3
2	ebe8c598f3c7703e	1204	tools/broccoli_agentic_selftest.py	#!/usr/bin/env python3
2	20c360e2ae242f90	3073	tools/broccoli_brain.py	
2	8c3479ff0192ae5e	2582	tools/broccoli_conv_archive.py	#!/usr/bin/env python3
2	fea4dc3394b04cbc	800	tools/broccoli_heal_daemon.sh	#!/bin/bash
2	d7bb4bbe223a682a	554	tools/broccoli_heal_supervisor.sh	#!/bin/bash
2	68c9e4d273aa63cf	1452	tools/broccoli_package_probe.sh	#!/bin/bash
2	6dcfd2cdc405609a	1446	tools/broccoli_pull.sh	#!/data/data/com.termux/files/usr/bin/bash
2	c06df78a5186e519	515	tools/broccoli_supervisor.sh	#!/data/data/com.termux/files/usr/bin/bash
2	894999a4a5719404	155	tools/broccoli_supervisor_loop.sh	#!/data/data/com.termux/files/usr/bin/bash
2	d90288bbda66354c	219	tools/broccoli_worker.sh	#!/data/data/com.termux/files/usr/bin/bash
2	2a61557229af85e7	863	tools/build_code_index.sh	#!/data/data/com.termux/files/usr/bin/bash
2	651c2a5c20af4289	1437	tools/build_grok_feed.sh	#!/data/data/com.termux/files/usr/bin/bash
2	2ae4045d617141b2	415	tools/build_repair_wire_prompt.sh	#!/data/data/com.termux/files/usr/bin/bash
2	acd2b03c73167a73	2265	tools/chat_focus_first.sh	\
2	0b2c596e5e8da527	1149	tools/codev_loop.sh	#!/data/data/com.termux/files/usr/bin/bash
2	82d13e1c78f4237c	402	tools/codevel_boot.sh	#!/data/data/com.termux/files/usr/bin/bash
2	d6b7304a1aad4bbc	5497	tools/codevel_wire.sh	#!/data/data/com.termux/files/usr/bin/bash
2	065ececde0c4f621	4999	tools/codevel_wire_fast.sh	#!/data/data/com.termux/files/usr/bin/bash
2	58014df1429f5d64	90	tools/collab_rish_loop.sh	#!/data/data/com.termux/files/usr/bin/bash
